,open_time,close_time,Open,High,Low,Volume
300,1600171200000,1600174799999,319.21000000,320.42000000,317.85000000,78.10502000
301,1600174800000,1600178399999,319.73000000,319.73000000,313.28000000,186.21167000
302,1600178400000,1600181999999,313.58000000,315.36000000,308.05000000,293.26049000
303,1600182000000,1600185599999,309.20000000,311.64000000,308.13000000,201.64361000
304,1600185600000,1600189199999,309.73000000,312.73000000,307.07000000,157.76290000
305,1600189200000,1600192799999,311.73000000,313.36000000,310.70000000,120.25964000
306,1600192800000,1600196399999,312.31000000,313.02000000,308.78000000,69.94756000
307,1600196400000,1600199999999,309.24000000,309.71000000,307.82000000,101.15215000
308,1600200000000,1600203599999,309.74000000,311.64000000,308.78000000,162.72118000
309,1600203600000,1600207199999,310.59000000,312.60000000,309.09000000,57.08302000
310,1600207200000,1600210799999,312.00000000,312.08000000,309.41000000,40.79708000
311,1600210800000,1600214399999,310.03000000,310.22000000,308.24000000,42.47098000
312,1600214400000,1600217999999,309.12000000,309.12000000,301.83000000,236.96508000
313,1600218000000,1600221599999,303.99000000,306.20000000,302.77000000,16.01095000
314,1600221600000,1600225199999,305.28000000,305.83000000,302.77000000,17.06713000
315,1600225200000,1600228799999,304.80000000,305.40000000,303.08000000,10.83261000
316,1600228800000,1600232399999,304.70000000,307.42000000,304.69000000,24.99048000
317,1600232400000,1600235999999,307.48000000,308.42000000,307.18000000,46.81821000
318,1600236000000,1600239599999,307.18000000,309.71000000,306.09000000,51.81867000
319,1600239600000,1600243199999,309.52000000,310.67000000,307.47000000,53.23957000
320,1600243200000,1600246799999,310.67000000,310.84000000,307.82000000,66.72452000
321,1600246800000,1600250399999,308.94000000,308.94000000,307.50000000,54.98179000
322,1600250400000,1600253999999,309.06000000,309.14000000,305.33000000,61.06424000
323,1600254000000,1600257599999,306.91000000,309.46000000,306.86000000,31.10705000
324,1600257600000,1600261199999,309.64000000,311.59000000,307.50000000,184.22057000
325,1600261200000,1600264799999,311.35000000,314.25000000,310.36000000,132.16547000
326,1600264800000,1600268399999,311.96000000,312.49000000,310.38000000,224.34850000
327,1600268400000,1600271999999,311.65000000,314.88000000,311.27000000,123.08392000
